Category,Channel,Message
FC,0,#Bardsquad FC is looking for friends to hangout and punch primals with. If you like both pst or join the party :)
FC,0,((Looking for paragraph roleplay guild to join.   Son of Ignis Scieintia/OC  FFXV/FFXIV/Crossover.  No Erp. ))
FC,0,"[Eye of the Storm] Looking for an established, small, mature but funloving family FC? C'mon in and say hello! "
FC,0,[FC recruitment] Small/New FC looking for more members to join us.  New and experienced welcomed. Send tell if interested!
FC,0,[RP FC] Silver Sands Collective ((SSCRP)) || Lala-owned business looking for more of our own! Check us out! http://sscrp.carrd.co
FC,0,[RP-FC] Kurone is a morally grey yakuza family. Interested in Eastern themed story-driven crime and combat RP? /tell for info!
FC,0,"<<GRIND>> is recruiting! If you're looking for a med-sized social active FC, then we would love to meet you! /tell for more info?"
FC,0,"<Dark Tidings> is recruiting! We are a new FC that has rapidly grown, raffles, mount runs, raiding, maps etc. Active Voice/Discord!"
FC,0,<Panic> is recruiting! We're a slowly growing fc that would appreciate some new faces. /tell for more info or an inv <3
FC,0,<WICH> FC is now recruiting!! we are looking for all types of players. PM me for more info :slight_smile:
FC,0,"«ToC» recruiting active members. Join the party, send me a /Tell or stop by the FC house (Goblet P13, W19) for more information."
FC,0,Are you <Mad>? All the best people are! Come down the rabbit  hole and explore Allison's Wonderland FC! Apply or DM for info!
FC,0,Aura's Edge <Aura> is looking for members new and old. Join the party or send a tell for invite ^_^
FC,0,Comfy Corner <Naps> is an LGBTQ+ friendly FC looking to recruit more people! Whisper or join for an inv or more info!
FC,0,Do you work 2nd and 3rd shift?  Can never find a FC that is right for you. The Night Shift is now recruiting. PST or apply. (Excalibur)
FC,0,"Elemancia is a Chill FC looking for people who enjoy EX Trials, Animanga, Zombies and Foodie Stuff, Bible Study Available."
FC,0,"Excaliburs FC ""The Furry Fandom"" is recruiting all fur and non furs alike! Come be the furson you want to be!"
FC,0,FC Atrum Sol Recruiting! Active/casual-chill people-Discord-house-events-craft-prog-all skill lvl welcome. Apply or PM!
FC,0,FC Atrum Sol recruiting. Active-midcore/casual-prog-craft-mature/chill-Discord-all skill lvls welcome. Pm or Apply!
FC,0,"FC recruiting new and experienced players. Interested? Join party, send me a /tell or stop by the FC house for more information."
FC,0,"FC recruitment for The Gods of Aesir, new players and vets a like are welcome. Send a tell if interested and dont be shy!"
FC,0,"FC Toxic looking for new memeber, Fc house, master crafter and gatherer, buffs available for new players as well as end game"
FC,0,Free Company | Fallen Angel | is welcoming new players on Gilgamesh
FC,0,Golden Crow [FC] offering new and old players a save place to hang and have fun with - join the weebs now \o/ /pm for info
FC,0,"HAIL - Active, Social & Mature Company recruiting members! Our FC touches all content! Do you need a home? Friends? /tell /apply"
FC,0,Journey's End seeking New Members!  R30 FC looking for friendly individuals to enjoy the game with.  join or PST for details.
FC,0,"Late night gamers, RP, casual convos, recruiting all! Tsukuyomi FC  discord.gg/bPjMQZvHdb   Send PM or Visit! Jenova/Mist W5 P37"
FC,0,Looking for a place to call home? Well you are in luck! <LogH> Log_Horizon We are accepting all kinds of players! /Tell to join!
FC,0,Mognificents is a really small fc recruiting people so we can make a beautiful community that we've all dreamed of! Send a tell! :D
FC,0,"New FC (Cruxis) is looking for members! New and old, all are welcome to join. Come join the pary for an invite! [Sargatanas]"
FC,0,New FC Atrum Sol recruiting! Active-midcore/casual-prog-craft-all skill lvl-Discord Zao#5735 or apply. Chill group!
FC,0,New FC Embers Of Ruin <EmRu> Looking for members!
FC,0,"Rhotano Mercantile <RM-RP> (18+ RP FC) is recruiting neutral and evil characters for dark RP, enquire within! https://rm-rp.carrd.co/"
FC,0,Seasonal Reapers! A Brand New FC Designed to help New and returning! Come in and join Reaper! send a /tell more info
FC,0,"Slaughter FC looking for new/vets to share hot cheetos with. We have puns too.  Chill FC - No drama - No expectations, just have fun."
FC,0,"Sol Verinia FC is recruiting! We accept all levels, looking for active members. We look forward to you becoming one of the spire."
FC,0,Tantalus Troupe <Panic> is looking for some more fc mates! We accept all play styles and timezones  /tell for more info or an inv
FC,0,"The Threads of Fate is recruiting! We are an 18+ Adventuring RP/PvE FC on Malboro, if you are interested, please join for info! "
FC,11,"""House Beaufort"" is now recruiting ! We're an international Guild looking for members new or veteran ! Our guildies are social, friendly and helpful !"
FC,11,"""The Guild offers bonus XP an estate and has a Discord server available, if you would like to join us please feel free to send me a tell or just simply apply !"
FC,11,"<<DA-RP>> is an 18 + heavy roleplaying Free Company that lets you be the villains of the story! Join us as we work to make the world anew by spreading chaos and disorder to this world! Learn, as you rise through our ranks, the inner story of our FC, our true machinations and where our true loyalties lie! If you are interested in joining and being an agent of Darkness, pm me for more information!!"
FC,11,<<Skyward Roses Blooms>> is looking for new and old  players alike! We're a casual FC looking to help run content and just chat! Send a tell or submit an application!!♥
FC,11,"<<Tympy>> FC meeting here  now  Ul'dah - Steps of Nald ( 10.3  , 8.5 )"
FC,11,"<Death> FC is throwing a server wide christmas party starting now, We will be doing a christmas video for the server, screenshots oppertunities, a christmas party and an item give away. If interested head to Lavender beds Ward 7, Plot 6 and we will see you inside the FC house. See you in a few minutes!"
FC,11,"<Exiled Knights> FC is recruiting quality people to join us in making a fun community. We have a Medium house, all amenities you need."
FC,11,"<Memoria> is a small, social FC looking for new or active players who regularly want to socialize and do content together. If this sounds like something you’re interested in, send me a /tell or apply via an application"
FC,11,"<PN-RP> The Prism Network is a small up and coming lore abiding RP community looking for folk from across the realm in search of story and adventure! Come check out our cozy little home in Lavender Beds 2-19, and feel free to PM with any questions!"
